112,-,-,-,0.1,1.9,7.0,13.0,14.7,11.9,6.1,2.2,1.2,0.9,0.1,0.1,0.0,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,0.1,0.9,4.6,13.3,18.6,15.2,10.7,4.3,2.4,1.6,0.4,0.3,0.1,0.1,0.2,0.0,-,0.0,-,-,-,-,-,-,-,-
114,-,-,-,0.0,0.7,3.5,10.5,18.7,16.3,12.5,8.9,3.0,1.3,0.6,0.4,0.1,0.1,0.2,0.1,-,-,0.0,-,-,-,-,-,-,-
115,-,-,0.0,0.0,0.3,1.8,7.9,17.2,19.4,15.7,10.1,3.3,2.2,1.4,1.0,0.8,0.2,0.1,0.1,0.1,-,0.0,-,-,-,-,-,-,-
116,-,-,-,-,0.1,1.0,5.4,13.9,17.7,18.1,10.8,6.9,3.8,1.0,1.4,0.3,0.5,0.1,0.1,0.0,-,-,-,-,-,-,-,-,-
117,-,-,-,-,0.0,0.9,4.1,9.6,13.7,16.5,10.9,8.1,5.1,2.3,1.1,0.7,0.6,0.2,0.2,0.0,-,-,-,-,-,-,-,-,-
118,-,-,-,-,0.1,0.5,1.5,8.0,11.8,13.4,13.1,9.1,5.0,2.7,1.5,0.8,0.5,0.6,0.2,-,0.2,0.1,0.0,-,-,-,-,0.0,-
119,-,-,-,-,-,0.3,0.8,3.4,10.3,12.7,12.1,9.2,7.1,5.2,1.8,1.6,0.6,0.5,0.4,0.1,0.1,0.2,0.0,-,-,-,-,-,0.1
120,-,-,-,-,0.0,0.1,0.1,2.2,6.9,9.8,11.1,8.7,6.9,3.6,2.7,2.0,0.9,0.8,0.5,0.1,0.4,0.4,0.2,-,-,-,-,-,-
121,-,-,-,-,-,0.0,0.0,1.1,3.4,5.0,6.6,7.1,5.3,3.7,2.3,2.3,0.9,0.7,0.8,0.5,0.4,0.5,0.1,0.2,-,-,-,-,0.0
122,-,-,-,-,-,0.0,0.1,0.5,1.4,4.5,5.9,6.6,5.5,5.1,2.9,1.8,0.9,0.8,0.6,0.4,0.2,0.2,0.1,0.1,0.0,0.0,-,-,0.0
123,-,-,-,-,-,0.0,0.0,0.3,0.7,2.3,3.9,5.1,4.6,3.5,2.6,1.5,1.2,0.3,0.4,0.4,0.2,0.2,0.2,0.0,0.0,-,-,-,0.1
124,-,-,-,-,-,-,-,0.4,0.4,1.3,3.0,2.7,2.3,2.9,2.3,1.3,1.0,0.7,0.5,0.2,0.3,0.1,0.1,0.1,-,-,-,0.0,0.0
125,-,-,-,-,-,-,0.0,0.2,0.3,0.7,1.4,1.7,1.6,1.8,1.8,1.3,1.0,0.6,0.2,0.4,0.2,0.1,0.4,0.2,0.0,0.1,-,-,-
126,-,-,-,-,-,-,-,-,-,0.1,0.2,0.9,1.5,0.9,1.5,0.9,0.9,0.2,0.4,0.5,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0
127,-,-,-,-,-,-,-,-,0.1,0.1,0.4,0.1,0.6,0.6,0.6,0.7,0.8,0.6,0.3,0.5,0.4,0.4,0.1,0.0,0.1,0.0,0.1,-,-
128,-,-,-,-,-,-,-,-,-,-,0.1,0.4,0.2,0.6,0.7,0.3,0.4,0.1,0.4,0.1,0.1,0.1,-,0.0,0.1,0.1,-,0.1,0.1
129,-,-,-,-,-,-,-,-,0.0,-,0.1,0.1,0.2,0.1,0.2,0.2,0.6,0.3,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.1,0.1,-,0.0
130,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.2,-,-,-,-,0.0,-,0.1
131,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.0,-,0.1,0.1,0.1,0.2,0.1,0.1,0.1,-,-,-,-,-
132,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,0.1,-,-,-,0.0,-,0.0,-,0.1,-,-,-,0.0,0.0,0.0
133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,0.0,-,-,-,0.1,-
134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.1,-,0.0,-,-,-,-
135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
