164,-,-,-,-,-,-,-,-,-,-,0.0,-,0.1,0.1,0.3,0.3,0.5,0.6,1.2,0.9,1.3,1.1,1.7,1.8,1.8,1.6,1.9,1.5,1.0,1.2,1.2,0.6,0.7,0.5,0.7,0.7,0.1,0.3,0.4,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.0,-,-,0.0,0.1,0.1,0.0,0.0,-,-,-,-,-,0.0,-,-,0.2
165,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,0.0,0.0,0.2,0.4,0.3,0.4,0.9,1.2,0.7,1.4,0.9,0.9,0.9,1.7,1.3,0.5,1.2,0.7,0.9,0.8,0.5,0.6,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,-,-,-,0.1,0.0,0.0,0.1,-,0.0,-,0.0,0.1,0.0,0.0,0.0
166,-,-,-,-,-,-,-,-,-,-,-,0.0,0.1,0.3,-,0.1,0.3,0.2,0.1,0.7,0.5,0.9,0.6,1.0,0.6,1.2,1.1,0.7,1.0,0.9,0.8,0.7,0.2,0.5,0.2,0.3,0.2,0.4,0.4,0.3,0.2,0.2,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,-,-,-,-,-,0.1
167,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.1,0.1,0.1,0.2,0.4,0.1,0.3,0.2,0.6,0.5,1.0,0.6,0.8,0.9,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,-,0.0,0.0,0.0,0.1,-,-,0.0,-,-,-,-,0.0,-,-,0.0,0.0
168,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,0.0,-,0.1,0.4,0.2,0.2,0.3,0.1,0.6,0.1,0.3,0.5,0.4,0.4,0.4,0.6,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.0,0.0,-,-,0.1,0.0,0.0,0.1,0.0,-,-,0.0,0.0,0.0,0.0,0.1,-,-,-,0.1
169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.7,0.2,0.3,0.4,0.4,0.1,0.3,0.2,0.0,0.2,0.1,0.0,-,0.1,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,-,0.0,-,0.0,-,-,-,0.1,0.0,-,-,-,0.0
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,-,0.0,0.2,0.0,-,0.2,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,-,0.0,0.1,0.0,-,-,-,-,-,0.0,-,-,-,-,0.1,-,-,0.0,-,0.1
171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.1,-,-,-,0.1,0.0,0.0,0.1,0.0,-,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,-,0.1,0.0,-,-,-,0.0,0.0,0.0,-,0.0,-,0.0,-,-,0.0,-,-,-,0.0,-,-,-,-,0.1
172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,0.1,-,0.1,0.1,-,0.0,-,0.0,0.1,0.0,0.1,0.0,-,0.0,0.1,0.0,0.0,0.0,-,-,0.1,-,0.0,0.0,0.0,-,-,0.0,-,-,0.0,-,0.0,0.1,-,-,-,-,-,-,-,0.0
173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,-,0.1,0.0,0.0,0.1,-,0.0,-,-,0.1,0.0,-,-,-,-,-,0.0,-,0.0,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.1,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,0.1,-,-
175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,0.0,-,-,-,0.1,-,-,0.0,0.0,-,-,-,-,-,-,-,0.1,-,0.1,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-
176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,-,-,0.0,0.0,-,0.1,-,-,-,-,0.0,-,-,0.1,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,0.0
